row_type,metric_id,file,method,domain,operation,classification,stimulus,outcome,http_status,side_effect,expected_max,notes
summary,IMPL-DB-AFTERCOMMIT,,,app,DB::afterCommit(,impl_count,,1,,,,app/Modules/Notifications/Services/NotificationService.php
summary,CONC-OPTIMISTIC-ENTITIES,,,schema,version fields,entity_count,,3,409,,,"AppointmentSlot, Role, Fee"
summary,CONC-LOCKED-DOMAINS,,,architecture,lockForUpdate domains,ratio,,13-Nov,,,,WITH-BEHAVIORAL-TESTS / IDENTIFIED
summary,REL-DB-INVARIANTS,,,schema,critical unique constraints,invariant_set,,12,,,,Conservative critical set
summary,REL-DB-INVARIANTS-TESTED,,,schema,tested invariants,ratio,,12-Jul,,,,Direct QueryException or create-reject evidence
summary,REL-UNIQUE-METHODS,,,inventory,unique methods in inventory,method_count,,107,,,,Do not sum metric columns
method,PAY-MONEY-PRECISION-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_money_to_minor_units_exact_without_float,payments,Money::toMinorUnits/equals,money_precision,decimal strings USD/SYP/JPY,exact minor units; equals ignores trailing zeros,,none,,Exact minor-unit math without float drift.
method,PAY-MONEY-PRECISION-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_money_rejects_excess_precision,payments,Money::toMinorUnits,money_precision,USD with 3 fractional digits,InvalidArgumentException,,none,,Rejects excess fractional precision.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_duplicate_initiation_reuses_active_attempt,payments,POST /api/applications/{id}/payments,idempotent_reuse,second create while pending exists,same payment id; one payment row,200,payment_row,1,Duplicate initiation reuses active attempt.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_duplicate_initiation_reuses_active_attempt,payments,POST /api/applications/{id}/payments,idempotent_reuse,second create while pending exists,same payment id; one payment row,200,payment_row,1,Duplicate initiation reuses active attempt.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_duplicate_initiation_reuses_active_attempt,payments,POST /api/applications/{id}/payments,idempotent_reuse,second create while pending exists,same payment id; one payment row,200,payment_row,1,Duplicate initiation reuses active attempt.
method,PAY-CONCURRENCY-INTEGRITY-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_duplicate_initiation_reuses_active_attempt,payments,POST /api/applications/{id}/payments,idempotent_reuse,second create while pending exists,same payment id; one payment row,200,payment_row,1,Duplicate initiation reuses active attempt.
method,PAY-UNIQUENESS-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_provider_reference_unique_constraint,payments,payments.provider_reference unique,db_invariant,second row same provider_reference,QueryException,,insert_rejected,1,DB uniqueness on provider_reference.
method,PAY-UNIQUENESS-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_settled_obligation_key_unique,payments,payments.settled_obligation_key unique,db_invariant,second completed same settled_obligation_key,QueryException,,insert_rejected,1,Prevents double-settlement of same obligation.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/PaymentConcurrencyAndIntegrityTest.php,test_settled_obligation_key_unique,payments,payments.settled_obligation_key unique,db_invariant,second completed same settled_obligation_key,QueryException,,insert_rejected,1,Prevents double-settlement of same obligation.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/PaymentFlowTest.php,test_create_payment_is_idempotent_when_pending_exists,payments,POST /api/applications/{id}/payments,idempotent_reuse,repeated create with pending,same payment id,200,payment_row,1,Pending create idempotent by id reuse.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/PaymentFlowTest.php,test_create_payment_is_idempotent_when_pending_exists,payments,POST /api/applications/{id}/payments,idempotent_reuse,repeated create with pending,same payment id,200,payment_row,1,Pending create idempotent by id reuse.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/PaymentFlowTest.php,test_cannot_confirm_payment_twice,payments,POST .../payments/{id}/confirm,duplicate_reject,second confirm after completed,422,422,confirm,1,Double confirm rejected.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/PaymentFlowTest.php,test_cannot_confirm_payment_twice,payments,POST .../payments/{id}/confirm,duplicate_reject,second confirm after completed,422,422,confirm,1,Double confirm rejected.
method,REL-STALE-STATE-REJECTION-METHODS,tests/Feature/PaymentFlowTest.php,test_cannot_confirm_payment_twice,payments,POST .../payments/{id}/confirm,duplicate_reject,second confirm after completed,422,422,confirm,1,Double confirm rejected.
method,PAY-WEBHOOK-IDEMPOTENCY-METHODS,tests/Feature/PaymentStripeTest.php,test_duplicate_webhook_is_idempotent,payments,POST /api/webhooks/stripe completed,webhook_idempotency,identical webhook twice,both OK; one completed payment,200,payment_status,1,Duplicate Stripe webhook does not re-settle.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/PaymentStripeTest.php,test_duplicate_webhook_is_idempotent,payments,POST /api/webhooks/stripe completed,webhook_idempotency,identical webhook twice,both OK; one completed payment,200,payment_status,1,Duplicate Stripe webhook does not re-settle.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/PaymentStripeTest.php,test_duplicate_webhook_is_idempotent,payments,POST /api/webhooks/stripe completed,webhook_idempotency,identical webhook twice,both OK; one completed payment,200,payment_status,1,Duplicate Stripe webhook does not re-settle.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/PaymentStripeTest.php,test_cannot_create_payment_when_completed_row_exists_for_fee,payments,POST /api/applications/{id}/payments,duplicate_reject,create after completed fee payment,422 already_completed,422,payment_create,0,Blocks new attempt when fee settled.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/PaymentStripeTest.php,test_cannot_create_payment_when_completed_row_exists_for_fee,payments,POST /api/applications/{id}/payments,duplicate_reject,create after completed fee payment,422 already_completed,422,payment_create,0,Blocks new attempt when fee settled.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/PaymentStripeTest.php,test_cannot_create_second_stripe_payment_after_successful_flow,payments,POST /api/applications/{id}/payments,duplicate_reject,second create after status completed,422,422,payment_create,0,Post-success create blocked.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/PaymentStripeTest.php,test_cannot_create_second_stripe_payment_after_successful_flow,payments,POST /api/applications/{id}/payments,duplicate_reject,second create after status completed,422,422,payment_create,0,Post-success create blocked.
method,PAY-CONCURRENCY-INTEGRITY-METHODS,tests/Feature/PaymentStripeTest.php,test_stripe_manual_confirm_is_disabled,payments,POST .../payments/{id}/confirm under stripe,provider_integrity,manual confirm when provider=stripe,400 manual_confirm_disabled,400,confirm_blocked,0,Stripe path disables manual confirm (payment integrity).
method,PAY-MONEY-PRECISION-METHODS,tests/Feature/ApplicationFeeUsdCatalogTest.php,test_usd_minor_unit_conversion_is_exact,payments,Money::toMinorUnits USD,money_precision,catalog/sample amounts,exact minor units,,none,,USD minor-unit conversion exact.
method,PAY-MONEY-PRECISION-METHODS,tests/Feature/ApplicationFeeUsdCatalogTest.php,test_client_cannot_override_amount_or_currency,payments,POST payments with client amount/currency,money_precision,client sends amount=1.00 currency=EUR,server snapshots catalog USD amount,200,amount_snapshot,1,Client cannot override fee amount/currency.
method,PAY-MONEY-PRECISION-METHODS,tests/Feature/ApplicationFeeUsdCatalogTest.php,test_currency_mismatch_moves_payment_to_under_verification,payments,Stripe webhook currency mismatch,money_precision,webhook currency eur vs USD payment,UnderVerification; app stays PaymentPending,200,under_verification,1,Currency mismatch financial integrity (underpayment verification).
method,PAY-MONEY-PRECISION-METHODS,tests/Feature/ApplicationFeeUsdCatalogTest.php,test_amount_mismatch_moves_payment_to_under_verification,payments,Stripe webhook amount mismatch,money_precision,webhook amount_total 999 vs expected,UnderVerification,200,under_verification,1,Amount mismatch financial integrity.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/DashboardPaymentManagementTest.php,test_verify_stripe_payment_completes_idempotently,payments,POST /api/dashboard/payments/{id}/verify,idempotent_reuse,verify twice after Stripe paid,both OK; payment.completed audit count unchanged,200,payment.completed_audit,1,Dashboard verify idempotent on audits.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/DashboardPaymentManagementTest.php,test_verify_stripe_payment_completes_idempotently,payments,POST /api/dashboard/payments/{id}/verify,idempotent_reuse,verify twice after Stripe paid,both OK; payment.completed audit count unchanged,200,payment.completed_audit,1,Dashboard verify idempotent on audits.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/DashboardPaymentManagementTest.php,test_verify_stripe_payment_completes_idempotently,payments,POST /api/dashboard/payments/{id}/verify,idempotent_reuse,verify twice after Stripe paid,both OK; payment.completed audit count unchanged,200,payment.completed_audit,1,Dashboard verify idempotent on audits.
method,NOTIF-IDEMPOTENCY-METHODS,tests/Feature/NotificationIdempotencyTest.php,test_same_event_key_does_not_duplicate,notifications,NotificationService::notify,idempotent_dedupe,same event_key twice,one notification row,,notification,1,Event-key dedupe proven.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/NotificationIdempotencyTest.php,test_same_event_key_does_not_duplicate,notifications,NotificationService::notify,idempotent_dedupe,same event_key twice,one notification row,,notification,1,Event-key dedupe proven.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/NotificationIdempotencyTest.php,test_same_event_key_does_not_duplicate,notifications,NotificationService::notify,idempotent_dedupe,same event_key twice,one notification row,,notification,1,Event-key dedupe proven.
method,NOTIF-IDEMPOTENCY-METHODS,tests/Feature/NotificationIdempotencyTest.php,test_status_history_event_key_dedupes_reprocessing_same_history_row,notifications,notifyApplicationStatusChange reprocess,idempotent_dedupe,re-notify same history id,one ApplicationPaymentPending notification,,notification,1,History-keyed reprocessing deduped.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/NotificationIdempotencyTest.php,test_status_history_event_key_dedupes_reprocessing_same_history_row,notifications,notifyApplicationStatusChange reprocess,idempotent_dedupe,re-notify same history id,one ApplicationPaymentPending notification,,notification,1,History-keyed reprocessing deduped.
method,REL-AFTERCOMMIT-SAFETY-METHODS,tests/Feature/NotificationTransactionSafetyTest.php,test_rolled_back_business_transaction_creates_no_notification,notifications,notify inside rolled-back DB::transaction,tx_safety,RuntimeException after notify,zero notifications,,notification,0,Rolled-back domain TX leaves no notification (afterCommit/tx safety).
method,REL-ROLLBACK-METHODS,tests/Feature/NotificationTransactionSafetyTest.php,test_rolled_back_business_transaction_creates_no_notification,notifications,notify inside rolled-back DB::transaction,tx_safety,RuntimeException after notify,zero notifications,,notification,0,Rolled-back domain TX leaves no notification (afterCommit/tx safety).
method,REL-ATOMICITY-METHODS,tests/Feature/NotificationTransactionSafetyTest.php,test_rolled_back_business_transaction_creates_no_notification,notifications,notify inside rolled-back DB::transaction,tx_safety,RuntimeException after notify,zero notifications,,notification,0,Rolled-back domain TX leaves no notification (afterCommit/tx safety).
method,NOTIF-TX-SAFETY-METHODS,tests/Feature/NotificationTransactionSafetyTest.php,test_rolled_back_business_transaction_creates_no_notification,notifications,notify inside rolled-back DB::transaction,tx_safety,RuntimeException after notify,zero notifications,,notification,0,Rolled-back domain TX leaves no notification (afterCommit/tx safety).
method,REL-AFTERCOMMIT-SAFETY-METHODS,tests/Feature/NotificationTransactionSafetyTest.php,test_notification_persist_failure_does_not_roll_back_business_success,notifications,FineService::create with failing notify persist,tx_safety,notification persist throws,fine committed; zero notifications,,fine_kept,1,Notification failure isolated from business commit.
method,REL-ATOMICITY-METHODS,tests/Feature/NotificationTransactionSafetyTest.php,test_notification_persist_failure_does_not_roll_back_business_success,notifications,FineService::create with failing notify persist,tx_safety,notification persist throws,fine committed; zero notifications,,fine_kept,1,Notification failure isolated from business commit.
method,NOTIF-TX-SAFETY-METHODS,tests/Feature/NotificationTransactionSafetyTest.php,test_notification_persist_failure_does_not_roll_back_business_success,notifications,FineService::create with failing notify persist,tx_safety,notification persist throws,fine committed; zero notifications,,fine_kept,1,Notification failure isolated from business commit.
method,NOTIF-IDEMPOTENCY-METHODS,tests/Feature/NotificationProductionReadinessTest.php,test_already_active_citizen_activation_does_not_spam_notifications,citizens,DashboardCitizenService::activate already active,idempotent_noop,activate twice on active citizen,zero AccountActivated notifications,,notification,0,No-op activation emits no spam.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/NotificationProductionReadinessTest.php,test_already_active_citizen_activation_does_not_spam_notifications,citizens,DashboardCitizenService::activate already active,idempotent_noop,activate twice on active citizen,zero AccountActivated notifications,,notification,0,No-op activation emits no spam.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/NotificationProductionReadinessTest.php,test_already_active_citizen_activation_does_not_spam_notifications,citizens,DashboardCitizenService::activate already active,idempotent_noop,activate twice on active citizen,zero AccountActivated notifications,,notification,0,No-op activation emits no spam.
method,NOTIF-IDEMPOTENCY-METHODS,tests/Feature/NotificationProductionReadinessTest.php,test_reactivation_after_deactivate_emits_exactly_one_activated_notification,citizens,deactivate then activate twice,idempotent_dedupe,second activate after reactivation,exactly one AccountActivated,,notification,1,Repeated activate after reactivation does not duplicate.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/NotificationProductionReadinessTest.php,test_reactivation_after_deactivate_emits_exactly_one_activated_notification,citizens,deactivate then activate twice,idempotent_dedupe,second activate after reactivation,exactly one AccountActivated,,notification,1,Repeated activate after reactivation does not duplicate.
method,NOTIF-IDEMPOTENCY-METHODS,tests/Feature/NotificationEventCoverageTest.php,test_payment_failed_and_under_verification_notify_once_per_code,payments/notifications,markFailed/markUnderVerification twice,idempotent_dedupe,same failure codes applied twice,one PaymentFailed + one UnderVerification notification,,notification,1,Per-code lifecycle notify idempotent.
method,PAY-IDEMPOTENCY-METHODS,tests/Feature/NotificationEventCoverageTest.php,test_payment_failed_and_under_verification_notify_once_per_code,payments/notifications,markFailed/markUnderVerification twice,idempotent_dedupe,same failure codes applied twice,one PaymentFailed + one UnderVerification notification,,notification,1,Per-code lifecycle notify idempotent.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/NotificationEventCoverageTest.php,test_payment_failed_and_under_verification_notify_once_per_code,payments/notifications,markFailed/markUnderVerification twice,idempotent_dedupe,same failure codes applied twice,one PaymentFailed + one UnderVerification notification,,notification,1,Per-code lifecycle notify idempotent.
method,NOTIF-IDEMPOTENCY-METHODS,tests/Feature/AppointmentNotificationTest.php,test_cancel_notifies_once_and_repeat_does_not_duplicate,appointments/notifications,AppointmentService::cancel twice,idempotent_dedupe,repeat cancel after success,AppointmentCancelled count stays 1,,notification,1,Cancel notify once; repeat cancel no duplicate notification.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/AppointmentNotificationTest.php,test_cancel_notifies_once_and_repeat_does_not_duplicate,appointments/notifications,AppointmentService::cancel twice,idempotent_dedupe,repeat cancel after success,AppointmentCancelled count stays 1,,notification,1,Cancel notify once; repeat cancel no duplicate notification.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/AppointmentNotificationTest.php,test_cancel_notifies_once_and_repeat_does_not_duplicate,appointments/notifications,AppointmentService::cancel twice,idempotent_dedupe,repeat cancel after success,AppointmentCancelled count stays 1,,notification,1,Cancel notify once; repeat cancel no duplicate notification.
method,NOTIF-IDEMPOTENCY-METHODS,tests/Feature/PushDeliveryPlanningTest.php,test_duplicate_business_event_does_not_create_new_push,push,notify same event_key,idempotent_dedupe,duplicate business event,one PushDelivery; one job,,push_delivery,1,Deduped notification prevents second push plan.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/PushDeliveryPlanningTest.php,test_duplicate_business_event_does_not_create_new_push,push,notify same event_key,idempotent_dedupe,duplicate business event,one PushDelivery; one job,,push_delivery,1,Deduped notification prevents second push plan.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/PushDeliveryPlanningTest.php,test_duplicate_business_event_does_not_create_new_push,push,notify same event_key,idempotent_dedupe,duplicate business event,one PushDelivery; one job,,push_delivery,1,Deduped notification prevents second push plan.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/PushDeliveryPlanningTest.php,test_delivery_key_uniqueness_enforced,push,push_deliveries.delivery_key unique,db_invariant,insert duplicate delivery_key,QueryException,,insert_rejected,1,DB uniqueness on delivery_key.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/PushDeliveryPlanningTest.php,test_pending_recovery_is_idempotent_for_already_sent,push,dispatchPending,recovery,dispatch when already Sent,dispatched=0,,job_dispatch,0,Recovery skips terminal Sent.
method,PUSH-RECOVERY-METHODS,tests/Feature/PushDeliveryPlanningTest.php,test_pending_recovery_is_idempotent_for_already_sent,push,dispatchPending,recovery,dispatch when already Sent,dispatched=0,,job_dispatch,0,Recovery skips terminal Sent.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/PushDeliveryPlanningTest.php,test_pending_recovery_is_idempotent_for_already_sent,push,dispatchPending,recovery,dispatch when already Sent,dispatched=0,,job_dispatch,0,Recovery skips terminal Sent.
method,PUSH-RETRY-METHODS,tests/Feature/PushDeliveryRetryTest.php,test_retry_delay_uses_backoff_and_honors_retry_after_minimum,push,retryDelaySeconds,retry,attempt index + Retry-After floors,60/120/300; floor 60; honor larger,,none,,Backoff and Retry-After minimum.
method,PUSH-RETRY-METHODS,tests/Feature/PushDeliveryRetryTest.php,test_retries_exhausted_marks_failed,push,processDelivery near budget,retry,503 with attempts=2 tries=3,Failed; attempts=3; failed_at set,,delivery_failed,1,Exhausted retries become terminal Failed.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/PushDeliveryRetryTest.php,test_retries_exhausted_marks_failed,push,processDelivery near budget,retry,503 with attempts=2 tries=3,Failed; attempts=3; failed_at set,,delivery_failed,1,Exhausted retries become terminal Failed.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/PushDeliveryRetryTest.php,test_dispatch_pending_command_dispatches_only_pending,push,artisan push:dispatch-pending,recovery,pending + Sent,job only for pending,,job_dispatch,1,Recovery command skips Sent.
method,PUSH-RECOVERY-METHODS,tests/Feature/PushDeliveryRetryTest.php,test_dispatch_pending_command_dispatches_only_pending,push,artisan push:dispatch-pending,recovery,pending + Sent,job only for pending,,job_dispatch,1,Recovery command skips Sent.
method,PUSH-RETRY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_fcm_attempts_count_only_real_sends,push,processDelivery deleted device,retry,device missing,FCM never; attempts=0,,attempts,0,Attempts only on real FCM sends.
method,PUSH-RETRY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_quota_429_minimum_delay_is_60_seconds,push,retryDelaySeconds,retry,Retry-After 10 vs 90,floor 60; honor 90,,none,,Quota delay floor.
method,PUSH-RETRY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_503_retry_after_honored,push,job handle 503,retry,Retry-After 180,releasedFor=180; attempts=1,,job_release,1,Retry-After drives release delay.
method,PUSH-RETRY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_malformed_retry_after_falls_back_to_backoff,push,parseRetryAfterSeconds,retry,invalid Retry-After,null parse; delay 60,,none,,Malformed Retry-After falls back.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/PushProductionCertificationTest.php,test_terminal_delivery_never_resent,push,processDelivery on Sent,terminal,reprocess terminal Sent,skipped; FCM never; stays Sent,,fcm_send,0,Terminal Sent never resent.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_terminal_delivery_never_resent,push,processDelivery on Sent,terminal,reprocess terminal Sent,skipped; FCM never; stays Sent,,fcm_send,0,Terminal Sent never resent.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/PushProductionCertificationTest.php,test_duplicate_job_safe_after_sent,push,SendPushNotificationJob twice,idempotent_reuse,duplicate job after success,Sent; attempts=1,,fcm_send,1,Second job after Sent is no-op.
method,REL-IDEMPOTENCY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_duplicate_job_safe_after_sent,push,SendPushNotificationJob twice,idempotent_reuse,duplicate job after success,Sent; attempts=1,,fcm_send,1,Second job after Sent is no-op.
method,REL-DUPLICATE-SIDE-EFFECT-METHODS,tests/Feature/PushProductionCertificationTest.php,test_duplicate_job_safe_after_sent,push,SendPushNotificationJob twice,idempotent_reuse,duplicate job after success,Sent; attempts=1,,fcm_send,1,Second job after Sent is no-op.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/PushProductionCertificationTest.php,test_invalid_token_never_retries,push,UNREGISTERED then reprocess,terminal,invalid token then process again,InvalidToken; FCM never on second,,fcm_send,0,InvalidToken terminal non-retry.
method,PUSH-RETRY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_invalid_token_never_retries,push,UNREGISTERED then reprocess,terminal,invalid token then process again,InvalidToken; FCM never on second,,fcm_send,0,InvalidToken terminal non-retry.
method,PUSH-RECOVERY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_stale_processing_recovered_recent_not_stolen,push,recoverStaleProcessing,recovery,stale Processing 10m vs fresh 30s,reclaimed=1; fresh stays Processing,,status_reset,1,Lease recovery selective.
method,REL-RECOVERY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_stale_processing_recovered_recent_not_stolen,push,recoverStaleProcessing,recovery,stale Processing 10m vs fresh 30s,reclaimed=1; fresh stays Processing,,status_reset,1,Lease recovery selective.
method,REL-STALE-STATE-REJECTION-METHODS,tests/Feature/PushProductionCertificationTest.php,test_stale_processing_recovered_recent_not_stolen,push,recoverStaleProcessing,recovery,stale Processing 10m vs fresh 30s,reclaimed=1; fresh stays Processing,,status_reset,1,Lease recovery selective.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/PushProductionCertificationTest.php,test_dispatch_pending_never_redispatches_terminal,push,dispatchPending,recovery,pending+Sent+Failed+InvalidToken,dispatched=1 only pending,,job_dispatch,1,Terminal statuses never redispatched.
method,PUSH-RECOVERY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_dispatch_pending_never_redispatches_terminal,push,dispatchPending,recovery,pending+Sent+Failed+InvalidToken,dispatched=1 only pending,,job_dispatch,1,Terminal statuses never redispatched.
method,PUSH-RECOVERY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_failed_dispatch_leaves_pending_recoverable,push,dispatchPending orphan pending,recovery,Pending with no prior job,dispatched=1,,job_dispatch,1,Orphan pending recoverable.
method,REL-RECOVERY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_failed_dispatch_leaves_pending_recoverable,push,dispatchPending orphan pending,recovery,Pending with no prior job,dispatched=1,,job_dispatch,1,Orphan pending recoverable.
method,PUSH-RECOVERY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_worker_crash_after_claim_leaves_recoverable_processing,push,recoverStaleProcessing after crash claim,recovery,Processing + stale last_attempt_at,reclaimed to Pending,,status_reset,1,Crash-after-claim recoverable.
method,REL-RECOVERY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_worker_crash_after_claim_leaves_recoverable_processing,push,recoverStaleProcessing after crash claim,recovery,Processing + stale last_attempt_at,reclaimed to Pending,,status_reset,1,Crash-after-claim recoverable.
method,NOTIF-TX-SAFETY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_db_notification_isolation_when_push_planning_errors,notifications/push,sendToUser no devices,tx_safety,push planning no-ops,notification persisted; zero deliveries,,notification,1,In-app notification isolated from empty push plan.
method,REL-ATOMICITY-METHODS,tests/Feature/PushProductionCertificationTest.php,test_db_notification_isolation_when_push_planning_errors,notifications/push,sendToUser no devices,tx_safety,push planning no-ops,notification persisted; zero deliveries,,notification,1,In-app notification isolated from empty push plan.
method,PUSH-TERMINAL-NO-RESEND-METHODS,tests/Feature/SendPushNotificationJobTest.php,test_permanent_failure_does_not_delete_device_or_retry,push,processDelivery INVALID_ARGUMENT,terminal,permanent FCM failure,Failed; device kept,,delivery_failed,1,Permanent failure terminal without device delete.
method,PUSH-RETRY-METHODS,tests/Feature/SendPushNotificationJobTest.php,test_permanent_failure_does_not_delete_device_or_retry,push,processDelivery INVALID_ARGUMENT,terminal,permanent FCM failure,Failed; device kept,,delivery_failed,1,Permanent failure terminal without device delete.
