row_type,operation_id,name,category,route,service,permission,audited,action,entity_type,in_transaction,reason_in_audit,tested,test_evidence,notes
critical_operation,AUD-OP-ROLE-RESTORE,"Restore access role",identity_access,"PATCH /api/dashboard/access-control/roles/{role}/restore",DashboardAccessControlService::restoreRole,super_admin,YES,access_role.restored,role,YES,NO,YES,"DashboardRoleManagementTest (access_role.restored)",
critical_operation,AUD-OP-SESSION-REVOKE,"Revoke employee session",identity_access,"POST /api/dashboard/employee-sessions/{session}/revoke",EmployeeSessionService::revokeOne,root_super_admin,YES,employee_session.revoked,employee_session,YES,YES,YES,EmployeeSessionRevocationTest::test_revoke_invalidates_token_and_audits,
critical_operation,AUD-OP-SESSION-REVOKE-ALL,"Revoke all employee sessions",identity_access,"POST /api/dashboard/employees/{employee}/sessions/revoke-all",EmployeeSessionService::revokeAllForEmployee,root_super_admin,YES,employee_sessions.revoked_all,user,YES,YES,YES,"EmployeeSessionRevocationTest::test_revoke_all_preserves_current_by_default (assertDatabaseHas revoked_all)",
critical_operation,AUD-OP-CITIZEN-ACTIVATE,"Activate citizen",citizen_admin,"POST /api/dashboard/citizens/{citizen}/activate",DashboardCitizenService::activate,manage_users,YES,citizen.activated,user,YES,NO,YES,DashboardCitizenManagementTest::test_activation_creates_audit_log,
critical_operation,AUD-OP-CITIZEN-DEACTIVATE,"Deactivate citizen",citizen_admin,"POST /api/dashboard/citizens/{citizen}/deactivate",DashboardCitizenService::deactivate,manage_users,YES,citizen.deactivated,user,YES,YES,YES,DashboardCitizenManagementTest::test_deactivation_creates_audit_log,
critical_operation,AUD-OP-PROFILE-APPROVE,"Approve citizen profile",citizen_admin,"POST /api/admin/profile-reviews/{user}/approve",ProfileReviewService::approve,review_profiles,YES,profile_approved,user,YES,NO,YES,"ProfileApprovalFlowTest (assertDatabaseHas profile_approved)",
critical_operation,AUD-OP-PROFILE-REJECT,"Reject citizen profile",citizen_admin,"POST /api/admin/profile-reviews/{user}/reject",ProfileReviewService::reject,review_profiles,YES,profile_rejected,user,YES,YES,YES,"ProfileApprovalFlowTest (profile_rejected query assert)",
critical_operation,AUD-OP-DOC-APPROVE,"Approve application document",document_review,"POST /api/dashboard/document-reviews/documents/{document}/approve (admin twin)","DocumentReviewService::approve via DashboardDocumentReviewService",review_documents,YES,document.approved,application_document,YES,NO,YES,"DashboardDocumentReviewTest (document.approved count)","Grouped dashboard+admin routes"
critical_operation,AUD-OP-DOC-REJECT,"Reject application document",document_review,"POST /api/dashboard/document-reviews/documents/{document}/reject (admin twin)","DocumentReviewService::reject via DashboardDocumentReviewService",review_documents,YES,document.rejected,application_document,YES,YES,YES,"DashboardDocumentReviewTest (document.rejected count)","Also asserts stale reject creates no false audit"
critical_operation,AUD-OP-PAYMENT-VERIFY,"Employee payment verification",payments_financial,"POST /api/dashboard/payments/{payment}/verify","DashboardPaymentService::verify → PaymentReconciliationService::reconcile",manage_payments,YES,"payment.verified (+ cascade payment.completed|failed|under_verification)",payment,PARTIAL,NO,YES,"DashboardPaymentManagementTest::test_verify_stripe_payment_completes_idempotently (asserts payment.completed audit count)","payment.verified written outside txn; lifecycle audits inside txn"
critical_operation,AUD-OP-FINE-CREATE,"Create fine",payments_financial,"POST /api/admin/fines",FineService::create,manage_fines,YES,fine.created,fine,NO,NO,YES,LicenseFlowTest::test_admin_can_create_and_mark_fine_paid,"Fine.reason on model not copied into audit payload"
critical_operation,AUD-OP-FINE-UPDATE,"Update fine / mark state",payments_financial,"PUT /api/admin/fines/{fine}",FineService::update,manage_fines,YES,fine.updated,fine,YES,NO,YES,LicenseFlowTest::test_admin_can_create_and_mark_fine_paid,
critical_operation,AUD-OP-SLOT-CREATE,"Create appointment slot",appointments_tests,"POST /api/dashboard/appointment-slots",DashboardAppointmentSlotService::create,manage_appointments,YES,appointment_slot.created,appointment_slot,YES,PARTIAL,YES,DashboardAppointmentSlotsTest::test_create_rejects_duplicate_and_ignores_client_booked_count,
critical_operation,AUD-OP-SLOT-UPDATE,"Update appointment slot",appointments_tests,"PATCH /api/dashboard/appointment-slots/{slot}",DashboardAppointmentSlotService::update,manage_appointments,YES,appointment_slot.updated,appointment_slot,YES,PARTIAL,YES,"DashboardAppointmentSlotsTest (appointment_slot.updated)",
critical_operation,AUD-OP-SLOT-ACTIVATE,"Activate appointment slot",appointments_tests,"PATCH /api/dashboard/appointment-slots/{slot}/activate",DashboardAppointmentSlotService::activate,manage_appointments,YES,appointment_slot.activated,appointment_slot,YES,PARTIAL,YES,DashboardAppointmentSlotsTest::test_activate_and_deactivate_rules,
critical_operation,AUD-OP-SLOT-DEACTIVATE,"Deactivate appointment slot",appointments_tests,"PATCH /api/dashboard/appointment-slots/{slot}/deactivate",DashboardAppointmentSlotService::deactivate,manage_appointments,YES,appointment_slot.deactivated,appointment_slot,YES,YES,YES,DashboardAppointmentSlotsTest::test_activate_and_deactivate_rules,
critical_operation,AUD-OP-TEST-RESULT,"Record test result",appointments_tests,"POST /api/admin/test-appointments/{appointment}/record-result",TestResultService::recordForAppointment,record_test_result,YES,test_result.recorded,test_result,YES,NO,YES,AppointmentFlowTest::test_employee_can_record_passed_result_and_unlock_next_test,
critical_operation,AUD-OP-LICENSE-ISSUE,"Issue license",licensing,"POST /api/admin/applications/{application}/issue-license","LicenseService::issueForApplication → LicenseLifecycleService::recordAudit",issue_license,YES,license.issued|renewed|lost_replacement_issued|damaged_replacement_issued,license,YES,NO,YES,LicenseFlowTest::test_employee_can_issue_license_for_approved_application,"Also writes license_status_histories"
critical_operation,AUD-OP-LICENSE-BLOCK,"Block license",licensing,"POST /api/dashboard/licenses/{license}/block (admin twin)","LicenseService::block → LicenseLifecycleService",manage_licenses,YES,license.blocked,license,YES,YES,YES,"DashboardIssuedLicensesTest / LicenseFlowTest (license.blocked)",
critical_operation,AUD-OP-LICENSE-UNBLOCK,"Unblock license",licensing,"POST /api/dashboard/licenses/{license}/unblock (admin twin)","LicenseService::unblock → LicenseLifecycleService",manage_licenses,YES,license.unblocked,license,YES,NO,YES,"DashboardIssuedLicensesTest / LicenseFlowTest (license.unblocked)",
critical_operation,AUD-OP-FEE-CREATE,"Create fee",governance_settings,"POST /api/dashboard/fees",DashboardFeeService::create,"fee management permission",YES,fee.created,fee,YES,PARTIAL,YES,"DashboardFeesManagementTest (fee.created query)",
critical_operation,AUD-OP-FEE-UPDATE,"Update fee",governance_settings,"PATCH /api/dashboard/fees/{fee}",DashboardFeeService::update,"fee management permission",YES,fee.updated,fee,YES,PARTIAL,YES,"DashboardFeesManagementTest (fee.updated assertDatabaseHas)",
critical_operation,AUD-OP-FEE-ACTIVATE,"Activate fee",governance_settings,"PATCH /api/dashboard/fees/{fee}/activate",DashboardFeeService::activate,"fee management permission",YES,fee.activated,fee,YES,PARTIAL,YES,DashboardFeesManagementTest::test_test_fee_can_be_deactivated,
critical_operation,AUD-OP-FEE-DEACTIVATE,"Deactivate fee",governance_settings,"PATCH /api/dashboard/fees/{fee}/deactivate",DashboardFeeService::deactivate,"fee management permission",YES,fee.deactivated,fee,YES,PARTIAL,YES,DashboardFeesManagementTest::test_test_fee_can_be_deactivated,
critical_operation,AUD-OP-LICENSE-TYPE-ADMIN,"License-type administrative mutation",governance_settings,"POST/PATCH /api/dashboard/license-types...",DashboardLicenseTypeService::create|update|setActive,"license type management permission",YES,license_type.created|updated|activated|deactivated,license_type,YES,NO,YES,"DashboardLicenseTypesTest (activated/deactivated asserts)","Grouped create/update/activate/deactivate"
critical_operation,AUD-OP-SERVICE-TYPE-ADMIN,"Service-type administrative mutation",governance_settings,"POST/PATCH /api/dashboard/service-types...",DashboardServiceTypeService::create|update|setActive,"service type management permission",YES,service_type.created|updated|activated|deactivated,service_type,YES,NO,YES,"DashboardServiceTypesTest (service_type.deactivated)",Grouped
access_negative,AUD-ACCESS-NEGATIVE,test_employee_without_view_audit_logs_is_denied,audit_authorization,"GET /api/dashboard/citizens/{id}/audit-logs",tests/Feature/DashboardCitizenManagementTest.php,,,,,,,YES,tests/Feature/DashboardCitizenManagementTest.php::test_employee_without_view_audit_logs_is_denied,"missing view_audit_logs expected 403"
access_negative,AUD-ACCESS-NEGATIVE,test_payment_employee_without_view_audit_logs_denied,audit_authorization,"GET /api/dashboard/payments/{id}/audit-logs",tests/Feature/DashboardPaymentManagementTest.php,,,,,,,YES,tests/Feature/DashboardPaymentManagementTest.php::test_payment_employee_without_view_audit_logs_denied,"missing view_audit_logs expected 403"
access_negative,AUD-ACCESS-NEGATIVE,test_audit_logs_require_view_audit_logs_permission,audit_authorization,"GET /api/dashboard/fees/{id}/audit-logs",tests/Feature/DashboardFeesManagementTest.php,,,,,,,YES,tests/Feature/DashboardFeesManagementTest.php::test_audit_logs_require_view_audit_logs_permission,"missing view_audit_logs expected 403"
access_negative,AUD-ACCESS-NEGATIVE,test_audit_logs_require_view_audit_logs_permission,audit_authorization,"GET /api/dashboard/appointment-slots/{id}/audit-logs",tests/Feature/DashboardAppointmentSlotsTest.php,,,,,,,YES,tests/Feature/DashboardAppointmentSlotsTest.php::test_audit_logs_require_view_audit_logs_permission,"missing view_audit_logs expected 403"
access_negative,AUD-ACCESS-NEGATIVE,test_fines_employee_cannot_access_audit_logs,audit_authorization,"GET /api/admin/audit-logs",tests/Feature/DashboardPermissionTest.php,,,,,,,YES,tests/Feature/DashboardPermissionTest.php::test_fines_employee_cannot_access_audit_logs,"missing view_audit_logs expected 403"
access_negative,AUD-ACCESS-NEGATIVE,test_details_history_block_unblock_and_audit,audit_authorization,"GET /api/dashboard/licenses/{id}/audit-logs",tests/Feature/DashboardIssuedLicensesTest.php,,,,,,,YES,tests/Feature/DashboardIssuedLicensesTest.php::test_details_history_block_unblock_and_audit,"audit_employee without view_audit_logs forbidden expected 403"
access_negative,AUD-ACCESS-NEGATIVE,test_normal_admin_cannot_access_any_management_route,audit_authorization,"GET /api/dashboard/employee-sessions/{uuid}/audit-logs",tests/Feature/EmployeeSessionSecurityTest.php,,,,,,,YES,tests/Feature/EmployeeSessionSecurityTest.php::test_normal_admin_cannot_access_any_management_route,"root_super_admin gate (not view_audit_logs) expected 403"
